partition_duration,subgraph_a_rmse_m,subgraph_b_rmse_m,subgraph_b_ci95_lower,hwmp_reconnection_ms,mtic_resync_cycles
0 cycles nominal,1.12,1.12,0.95,0,0
2 cycles approx 200ms,1.15,1.85,0.90,45,1
3 cycles approx 300ms,1.18,2.60,0.82,65,1-2
5 cycles approx 500ms,1.22,4.50,0.60,110,2-3
