method,auc,operational_tpr,operational_fpr
C4_mtic_fuzzy_only,0.890,0.86,0.08
C5_mtic_bayesian_only,0.910,0.89,0.06
Ours_mtic_fuzzy_bayesian,0.970,0.95,0.02
