architecture,per_target_per_cycle_kb,payload_3targets_10hz_kbps,ratio_to_centralized_low,ratio_to_centralized_high
Centralized raw boxes + audio features,10-60,300-1800,1.0,1.0
MTIC K=5,1.080,32.400,0.0180,0.1080
